country,city,lat,lng
Australia,Melbourne,-37.82,144.975
Australia,Sydney,-33.92,151.1852
Austria,Graz,47.0778,15.41
Austria,Salzburg,47.8105,13.04
Belgium,Charleroi,50.4204,4.45
Canada,Vancouver,49.2734,-123.1216
Finland,Helsinki,60.1756,24.9341
Finland,Oulu,65,25.47
France,Lille,50.65,3.08
France,Lyon,45.77,4.83
France,Marseille,43.29,5.375
France,Nantes,47.2104,-1.59
France,Paris,48.8667,2.3333
France,Reims,49.2504,4.03
France,Strasbourg,48.58,7.75
France,Toulouse,43.62,1.4499
France,Versailles,48.8005,2.1333
Germany,Frankfurt,50.1,8.675
Germany,Munich,48.1299,11.575
Ireland,Dublin,53.3331,-6.2489
Italy,Bergamo,45.7004,9.67
Norway,Bergen,60.391,5.3245
Norway,Oslo,59.9167,10.75
Philippines,Makati City,14.5501,121.036
Singapore,Singapore,1.293,103.8558
Spain,Barcelona,41.3833,2.1834
Spain,Madrid,40.4,-3.6834
United Kingdom,Liverpool,53.416,-2.918
United Kingdom,London,51.5,-0.1167
United Kingdom,Manchester,53.5004,-2.248
United States,Allentown,40.5961,-75.4756
United States,Boston,42.3188,-71.0846
United States,Bridgewater,38.3863,-78.9675
United States,Burbank,34.1879,-118.3234
United States,Burlingame,37.586,-122.3669
United States,Cambridge,38.5515,-76.0786
United States,Glendale,43.1288,-87.9277
United States,Houston,29.7868,-95.3905
United States,Las Vegas,35.6011,-105.2206
United States,Los Angeles,34.1139,-118.4068
United States,Nashua,42.7491,-71.491
United States,New Bedford,41.6697,-70.9428
United States,New Haven,41.0669,-85.0282
United States,New York,40.6943,-73.9249
United States,Newark,39.6776,-75.7573
United States,Pasadena,29.6584,-95.1499
United States,Philadelphia,40.0076,-75.134
United States,San Diego,32.8312,-117.1226
United States,San Francisco,37.7562,-122.443
United States,San Jose,37.3018,-121.8485
United States,San Rafael,37.9905,-122.5222
United States,White Plains,41.022,-73.7548
