order_number,quantity,unit_price,line_number,status,product,msrp,product_code,customer_name,phone,address,city,state,postal_code,country,territory,month_relative,customer_id,contact
10107,30,95.7,2,Shipped,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,New York,NY,10022,United States,NA,27,47,Yu Kwai
10121,34,81.35,5,Shipped,Motorcycles,95,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,NA,51100,France,EMEA,24,68,Henriot Paul
10134,41,94.74,2,Shipped,Motorcycles,95,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,NA,75508,France,EMEA,22,48,Da Cunha Daniel
10145,45,83.26,6,Shipped,Motorcycles,95,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,United States,NA,21,87,Young Julie
10159,49,100,14,Shipped,Motorcycles,95,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,NA,United States,NA,19,24,Brown Julie
10168,36,96.66,1,Shipped,Motorcycles,95,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,United States,NA,19,81,Hirano Juri
10180,29,86.13,9,Shipped,Motorcycles,95,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,NA,59000,France,EMEA,18,27,Rance Martine
10188,48,100,1,Shipped,Motorcycles,95,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,NA,N 5804,Norway,EMEA,18,42,Oeztan Veysel
10201,22,98.57,2,Shipped,Motorcycles,95,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,NA,United States,NA,17,58,Murphy Julie
10211,41,100,14,Shipped,Motorcycles,95,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,NA,75016,France,EMEA,16,9,Perrier Dominique
10223,37,100,1,Shipped,Motorcycles,95,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,15,6,Ferguson Peter
